instance,group,algorithm,seed,feasible,served_customers,vehicles,total_distance,total_travel_time,runtime_seconds,improvement_vs_bih_vehicles,improvement_vs_bih_distance,improvement_vs_bih_time
RC1_10_4,RC1,ABC,2026.0,True,1000,284,294107.882313,360767.027732,90.085994,-215.55555555555554,-234.4602046066706,-205.51108593115143
RC1_10_5,RC1,ABC,2026.0,True,1000,652,340154.552015,546750.563597,90.18814,-593.6170212765958,-408.99575912907756,-337.4343946912923
RC1_10_6,RC1,ABC,2026.0,True,1000,661,343949.951623,555913.327016,90.382553,-588.5416666666667,-423.7640788986847,-340.14183162297667
RC1_10_7,RC1,ABC,2026.0,True,1000,630,335319.413572,530613.184639,90.414339,-570.2127659574468,-396.62767650301174,-330.9278305650374
RC1_10_8,RC1,ABC,2026.0,True,1000,602,329026.448788,516045.417133,90.536513,-527.0833333333333,-432.98043167160546,-296.4952999007852
RC1_10_9,RC1,ABC,2026.0,True,1000,617,328827.721565,520206.656289,90.948082,-549.4736842105264,-420.4016328768232,-295.24651685987516
RC2_10_1,RC2,ABC,2026.0,True,1000,516,325757.636629,1584831.654666,90.63483,-1742.8571428571427,-556.6128124463277,-918.5834783640921
RC2_10_10,RC2,ABC,2026.0,True,1000,402,310952.581707,1319740.855703,90.64189,-2015.7894736842106,-658.890956214561,-1048.9768498638396
RC2_10_2,RC2,ABC,2026.0,True,1000,407,319376.750267,1243714.58065,90.073586,-1595.8333333333335,-658.3154314236664,-819.666032595544
RC2_10_3,RC2,ABC,2026.0,True,1000,297,301827.612428,893992.079497,90.630707,-1314.2857142857142,-844.9047253830512,-725.3568493065925
RC2_10_4,RC2,ABC,2026.0,True,1000,165,280904.953319,572562.484485,90.597628,-816.6666666666666,-946.4374735220156,-582.0532485027035
RC2_10_5,RC2,ABC,2026.0,True,1000,477,315754.346869,1504090.854515,90.927977,-1973.913043478261,-559.494799596736,-1020.8019494706652
RC2_10_6,RC2,ABC,2026.0,True,1000,498,324690.202053,1543109.719689,90.137435,-2065.2173913043475,-741.7577802083783,-975.0831147782417
RC2_10_7,RC2,ABC,2026.0,True,1000,460,318568.28952,1475818.666224,90.503902,-2090.4761904761904,-778.2244815409076,-1036.6428531219622
RC2_10_8,RC2,ABC,2026.0,True,1000,437,315053.381574,1431591.367334,90.66339,-2200.0,-710.5949464707387,-1104.4217399378426
RC2_10_9,RC2,ABC,2026.0,True,1000,429,315619.358328,1390837.549557,90.548312,-2045.0,-667.3848884016018,-1031.7298516458848
