instance,group,algorithm,seed,feasible,served_customers,vehicles,total_distance,total_travel_time,runtime_seconds,improvement_vs_bih_vehicles,improvement_vs_bih_distance,improvement_vs_bih_time
R2_10_5,R2,GWO,2026.0,True,1000,479,314094.247705,2091207.200155,50.907143,-2421.052631578947,-351.21981346653615,-1571.2725191687828
R2_10_6,R2,GWO,2026.0,True,1000,369,311061.241835,1627677.392233,49.895235,-1842.1052631578948,-377.99497702146965,-1428.5602766734903
R2_10_7,R2,GWO,2026.0,True,1000,255,290673.477405,1179185.779361,45.447987,-1242.1052631578948,-425.31664128553393,-888.6385695722828
R2_10_8,R2,GWO,2026.0,True,1000,145,265338.59892,711243.486882,43.2838,-663.1578947368421,-500.30969255961725,-943.2685449155432
R2_10_9,R2,GWO,2026.0,True,1000,464,314432.973455,1965587.087068,50.795799,-2342.105263157895,-367.1078539926386,-1480.1911508881171
RC1_10_1,RC1,GWO,2026.0,True,1000,681,347842.46986,570027.809679,56.982703,-624.468085106383,-425.6625782669052,-368.2976623535318
RC1_10_10,RC1,GWO,2026.0,True,1000,589,329841.099864,503231.416928,54.929788,-526.595744680851,-429.73081024124014,-293.91878836170247
RC1_10_2,RC1,GWO,2026.0,True,1000,550,332258.968771,501923.804504,53.442927,-504.3956043956044,-338.98599477115516,-279.72638856434816
RC1_10_3,RC1,GWO,2026.0,True,1000,411,308936.172011,416266.173171,51.797642,-351.64835164835165,-287.3767620161755,-242.04180631290987
RC1_10_4,RC1,GWO,2026.0,True,1000,284,295097.924253,360949.814348,44.912897,-215.55555555555554,-235.58608272737052,-205.66587651137408
RC1_10_5,RC1,GWO,2026.0,True,1000,655,338106.843941,547064.488975,56.469751,-596.8085106382978,-405.9316380716753,-337.68555448306324
RC1_10_6,RC1,GWO,2026.0,True,1000,658,340206.017261,554170.802903,57.256587,-585.4166666666667,-418.06284729996827,-338.76219613400605
RC1_10_7,RC1,GWO,2026.0,True,1000,634,336426.386815,541589.655896,56.285039,-574.468085106383,-398.26716866293714,-339.8421717140546
RC1_10_8,RC1,GWO,2026.0,True,1000,615,336069.685177,521401.021961,55.206476,-540.625,-444.3895666660786,-300.61019380726606
RC1_10_9,RC1,GWO,2026.0,True,1000,611,331884.135834,513454.921319,56.680874,-543.1578947368421,-425.23870369544403,-290.1166330004672
RC2_10_1,RC2,GWO,2026.0,True,1000,524,324011.613523,1616699.265783,54.288361,-1771.4285714285716,-553.0934440161943,-939.0650368205636
RC2_10_10,RC2,GWO,2026.0,True,1000,396,306881.68095,1337716.778755,50.627238,-1984.2105263157894,-648.9557765444811,-1064.6268309585598
RC2_10_2,RC2,GWO,2026.0,True,1000,409,314909.042269,1249781.128435,51.738227,-1604.1666666666667,-647.7074835528649,-824.151947627646
RC2_10_3,RC2,GWO,2026.0,True,1000,293,303133.267898,894344.7877,45.4241,-1295.2380952380952,-848.9922242483829,-725.6824787364601
RC2_10_4,RC2,GWO,2026.0,True,1000,160,284811.588419,555462.31155,44.332948,-788.8888888888889,-960.9906144179469,-561.6830202458426
RC2_10_5,RC2,GWO,2026.0,True,1000,471,321734.643553,1495081.069582,52.210308,-1947.826086956522,-571.9854417755432,-1014.0881366136127
RC2_10_6,RC2,GWO,2026.0,True,1000,484,325783.631881,1506858.251963,51.545983,-2004.3478260869567,-744.5924917549888,-949.8267507356345
RC2_10_7,RC2,GWO,2026.0,True,1000,449,316701.207755,1452986.846916,51.481736,-2038.095238095238,-773.0773373680453,-1019.0582915263228
RC2_10_8,RC2,GWO,2026.0,True,1000,431,316632.016173,1415899.592686,51.592908,-2168.421052631579,-714.656585872545,-1091.2199877091655
RC2_10_9,RC2,GWO,2026.0,True,1000,424,312079.140217,1382141.788602,52.373518,-2020.0,-658.7773369053344,-1024.6540775853666
C1_10_1,C1,Standard ACO,2026.0,True,1000,253,141351.156739,294362.909792,95.013112,-136.4485981308411,-198.85866912506103,-109.45777722403929
C1_10_10,C1,Standard ACO,2026.0,True,1000,123,76573.364729,181256.620298,94.01315,3.90625,18.900606393603866,3.657522746240688
C1_10_2,C1,Standard ACO,2026.0,True,1000,214,124213.183284,278164.325361,90.402651,-118.36734693877551,-113.4111034439462,-82.78500449375677
C1_10_3,C1,Standard ACO,2026.0,True,1000,180,101064.678936,250184.733403,90.085514,-83.6734693877551,-37.779163614096376,-49.965062896950975
C1_10_4,C1,Standard ACO,2026.0,True,1000,136,74567.903525,204616.445491,91.197764,-36.0,-3.5066608327545454,-21.18822003255756
C1_10_5,C1,Standard ACO,2026.0,True,1000,220,126035.085554,263812.609202,90.071984,-91.30434782608695,-130.02596333909378,-76.65747160967328
C1_10_6,C1,Standard ACO,2026.0,True,1000,210,125035.049578,258203.013194,92.62919,-66.66666666666666,-101.12523329038147,-61.92725492487767
C1_10_7,C1,Standard ACO,2026.0,True,1000,203,124215.529369,248066.782743,94.636576,-87.96296296296296,-133.89864596990776,-70.90008227595797
C1_10_8,C1,Standard ACO,2026.0,True,1000,164,101543.145939,216202.479784,93.877736,-33.33333333333333,-45.73443598113004,-29.62505649399043
C1_10_9,C1,Standard ACO,2026.0,True,1000,142,87202.041813,192960.220695,95.98485,-33.9622641509434,-37.05124538591714,-24.095761988851464
C2_10_1,C2,Standard ACO,2026.0,True,1000,139,86344.173785,348511.268439,94.748207,-308.8235294117647,-294.61907094079015,-196.82886692034063
C2_10_10,C2,Standard ACO,2026.0,True,1000,60,48322.384808,183243.230677,97.384776,-62.16216216216216,-26.807909994556155,-27.961460003416093
C2_10_2,C2,Standard ACO,2026.0,True,1000,128,81020.159556,370735.216941,93.947328,-255.55555555555554,-67.58013061736807,-165.17981163874632
C2_10_3,C2,Standard ACO,2026.0,True,1000,117,68498.065139,344099.881639,90.599252,-207.89473684210526,-26.035619777372915,-136.1908805971961
C2_10_4,C2,Standard ACO,2026.0,True,1000,82,51209.854697,277574.24295,90.861061,-141.1764705882353,-51.00193444474077,-111.99973848086971
C2_10_5,C2,Standard ACO,2026.0,True,1000,96,65565.694056,256271.883616,96.216767,-174.28571428571428,-172.96735014171546,-111.06208446727992
C2_10_6,C2,Standard ACO,2026.0,True,1000,84,59412.148769,232087.178275,99.620849,-104.8780487804878,-13.055201918595802,-59.585553331143416
C2_10_7,C2,Standard ACO,2026.0,True,1000,85,57660.277186,246098.562197,94.231197,-97.67441860465115,-21.282439982399115,-64.83208884943133
C2_10_8,C2,Standard ACO,2026.0,True,1000,74,54956.664879,212645.961623,92.125329,-117.64705882352942,-62.70386512535914,-63.78511933186749
C2_10_9,C2,Standard ACO,2026.0,True,1000,74,52436.922517,214770.908228,93.478094,-68.18181818181817,1.959377203300408,-41.27275669144905
R1_10_1,R1,Standard ACO,2026.0,True,1000,261,144134.728294,325041.483437,92.798662,-143.92523364485982,-70.51076237996155,-100.76425371445339
R1_10_10,R1,Standard ACO,2026.0,True,1000,154,100435.860378,197244.802328,94.698874,-67.3913043478261,-10.404185749419801,-34.22574217534362
R1_10_2,R1,Standard ACO,2026.0,True,1000,214,124159.941049,285942.138815,92.475887,-132.6086956521739,-49.408505380002474,-103.89947038506465
R1_10_3,R1,Standard ACO,2026.0,True,1000,169,103786.347607,238872.176295,95.265627,-83.69565217391305,-10.424551011760038,-77.9694245598716
R1_10_4,R1,Standard ACO,2026.0,True,1000,112,82516.875508,170545.988281,94.853664,-21.73913043478261,17.708937335666086,-35.94209178677492
R1_10_5,R1,Standard ACO,2026.0,True,1000,230,129230.01162,294264.830106,95.665632,-134.6938775510204,-61.75919373202839,-85.36982972162079
R1_10_6,R1,Standard ACO,2026.0,True,1000,197,117877.270945,267768.407209,94.208701,-114.13043478260869,-49.2435296765698,-105.10173798852837
R1_10_7,R1,Standard ACO,2026.0,True,1000,156,98737.465188,223542.27961,93.422288,-69.56521739130434,-8.894277305747387,-73.9451042925915
R1_10_8,R1,Standard ACO,2026.0,True,1000,112,81255.564624,168750.694337,93.354014,-21.73913043478261,22.0099596430654,-35.08059129808904
R1_10_9,R1,Standard ACO,2026.0,True,1000,202,116474.635699,255698.636512,95.104287,-112.63157894736841,-37.22464818648456,-66.83438892472779
R2_10_1,R2,Standard ACO,2026.0,True,1000,150,114409.617386,644670.846457,94.965205,-614.2857142857143,-55.781133299109584,-385.19478118392624
R2_10_10,R2,Standard ACO,2026.0,True,1000,77,85244.132299,317404.234905,98.634878,-305.2631578947369,-23.9332025016289,-159.56541174024932
R2_10_2,R2,Standard ACO,2026.0,True,1000,128,108012.866067,546361.700049,93.742431,-573.6842105263157,-76.8744802058394,-400.2398143901978
R2_10_3,R2,Standard ACO,2026.0,True,1000,90,86625.115207,423794.391304,110.615142,-373.6842105263158,-75.27685873425241,-251.02534382788505
R2_10_4,R2,Standard ACO,2026.0,True,1000,55,63580.351408,285346.38266,107.141547,-189.4736842105263,-43.609182869610166,-298.0900830190867
R2_10_5,R2,Standard ACO,2026.0,True,1000,120,103238.060463,487517.608869,95.404372,-531.578947368421,-48.3091738391626,-289.61934630544687
R2_10_6,R2,Standard ACO,2026.0,True,1000,97,94944.525665,437069.609222,90.339619,-410.5263157894737,-45.897335508063925,-310.45433572153394
R2_10_7,R2,Standard ACO,2026.0,True,1000,73,79590.870408,339190.498507,97.52802,-284.2105263157895,-43.839778892064665,-184.37996380705064
R2_10_8,R2,Standard ACO,2026.0,True,1000,49,60291.604504,248740.852982,114.064013,-157.89473684210526,-36.405463475876395,-264.8588880429854
R2_10_9,R2,Standard ACO,2026.0,True,1000,105,94643.546535,447068.973788,95.897348,-452.6315789473684,-40.59830758348631,-259.4114149733367
RC1_10_1,RC1,Standard ACO,2026.0,True,1000,197,115383.723756,205174.507457,90.426076,-109.57446808510637,-74.36889102134931,-68.55799065445156
RC1_10_10,RC1,Standard ACO,2026.0,True,1000,121,80782.453727,143084.744466,94.083266,-28.723404255319153,-29.738091110306105,-12.003677189245915
RC1_10_2,RC1,Standard ACO,2026.0,True,1000,170,103405.173129,197631.844131,90.609402,-86.81318681318682,-36.620609395208575,-49.51677080017577
RC1_10_3,RC1,Standard ACO,2026.0,True,1000,141,87988.71772,171266.436699,91.062148,-54.94505494505495,-10.329536170711865,-40.727940786188086
RC1_10_4,RC1,Standard ACO,2026.0,True,1000,117,78539.010373,143648.262505,96.329515,-30.0,10.68524490954143,-21.6467506632202
RC1_10_5,RC1,Standard ACO,2026.0,True,1000,170,101267.38829,185479.172165,93.111758,-80.85106382978722,-51.53309244973624,-48.39485280099664
RC1_10_6,RC1,Standard ACO,2026.0,True,1000,161,95564.249651,181117.897877,91.828704,-67.70833333333334,-45.524431557306,-43.399266463334186
RC1_10_7,RC1,Standard ACO,2026.0,True,1000,149,90851.796996,167641.600446,92.05501,-58.51063829787234,-34.5568285701379,-36.147071508965006
RC1_10_8,RC1,Standard ACO,2026.0,True,1000,132,81620.583577,152637.091502,95.156604,-37.5,-32.2148235450438,-17.27628491945572
RC1_10_9,RC1,Standard ACO,2026.0,True,1000,132,83815.482643,154796.222242,92.568509,-38.94736842105263,-32.64609753759533,-17.612235300248997
RC2_10_1,RC2,Standard ACO,2026.0,True,1000,112,88574.980078,403836.835606,92.065918,-300.0,-78.53600420004851,-159.54903632322822
RC2_10_10,RC2,Standard ACO,2026.0,True,1000,46,60811.4177,179979.276669,97.044557,-142.10526315789474,-48.41245142193718,-56.6913848687105
RC2_10_2,RC2,Standard ACO,2026.0,True,1000,96,83418.694942,362048.197283,104.987355,-300.0,-98.06602575440544,-167.7169138192538
RC2_10_3,RC2,Standard ACO,2026.0,True,1000,75,71045.014879,285506.485621,96.712397,-257.14285714285717,-122.41427725599524,-163.58704828943317
RC2_10_4,RC2,Standard ACO,2026.0,True,1000,48,54771.136647,195195.582857,90.263054,-166.66666666666669,-104.03545461773487,-132.52271147444222
RC2_10_5,RC2,Standard ACO,2026.0,True,1000,81,75404.207295,299684.838831,96.398647,-252.17391304347828,-57.49168007304799,-123.3158659134957
RC2_10_6,RC2,Standard ACO,2026.0,True,1000,82,77657.795136,308419.362534,92.714944,-256.52173913043475,-101.3274587167432,-114.87548467894997
RC2_10_7,RC2,Standard ACO,2026.0,True,1000,73,67393.841768,266728.214851,92.083715,-247.61904761904762,-85.79037428656552,-105.4281640928591
RC2_10_8,RC2,Standard ACO,2026.0,True,1000,62,67431.669179,229197.042154,91.742251,-226.3157894736842,-73.49367905687924,-92.82730156008505
RC2_10_9,RC2,Standard ACO,2026.0,True,1000,55,66613.018267,211193.718461,96.151786,-175.0,-61.96035585305468,-71.8491392028778
