instance,group,algorithm,seed,iteration,best_vehicles,best_distance,best_travel_time
RC2_10_4,RC2,ABC,2026,5,165,280904.953319,572562.484485
RC2_10_4,RC2,ABC,2026,6,165,280904.953319,572562.484485
RC2_10_5,RC2,ABC,2026,0,491,324420.30525,1526419.523161
RC2_10_5,RC2,ABC,2026,1,483,316824.862783,1508931.136812
RC2_10_5,RC2,ABC,2026,2,483,316824.862783,1508931.136812
RC2_10_5,RC2,ABC,2026,3,483,316824.862783,1508931.136812
RC2_10_5,RC2,ABC,2026,4,477,315754.346869,1504090.854515
RC2_10_5,RC2,ABC,2026,5,477,315754.346869,1504090.854515
RC2_10_6,RC2,ABC,2026,0,503,324534.494851,1548535.490657
RC2_10_6,RC2,ABC,2026,1,498,324690.202053,1543109.719689
RC2_10_6,RC2,ABC,2026,2,498,324690.202053,1543109.719689
RC2_10_6,RC2,ABC,2026,3,498,324690.202053,1543109.719689
RC2_10_6,RC2,ABC,2026,4,498,324690.202053,1543109.719689
RC2_10_7,RC2,ABC,2026,0,467,320135.211517,1476028.601084
RC2_10_7,RC2,ABC,2026,1,460,318568.28952,1475818.666224
RC2_10_7,RC2,ABC,2026,2,460,318568.28952,1475818.666224
RC2_10_7,RC2,ABC,2026,3,460,318568.28952,1475818.666224
RC2_10_7,RC2,ABC,2026,4,460,318568.28952,1475818.666224
RC2_10_8,RC2,ABC,2026,0,448,316036.600213,1426159.212141
RC2_10_8,RC2,ABC,2026,1,442,317991.830425,1449302.984319
RC2_10_8,RC2,ABC,2026,2,437,315053.381574,1431591.367334
RC2_10_8,RC2,ABC,2026,3,437,315053.381574,1431591.367334
RC2_10_8,RC2,ABC,2026,4,437,315053.381574,1431591.367334
RC2_10_9,RC2,ABC,2026,0,439,316358.195003,1399060.627088
RC2_10_9,RC2,ABC,2026,1,429,315619.358328,1390837.549557
RC2_10_9,RC2,ABC,2026,2,429,315619.358328,1390837.549557
RC2_10_9,RC2,ABC,2026,3,429,315619.358328,1390837.549557
