instance,group,algorithm,seed,iteration,best_vehicles,best_distance,best_travel_time
RC1_10_2,RC1,BIH-ACO,2026,1,91,75687.828935,132180.385567
RC1_10_3,RC1,BIH-ACO,2026,0,91,79750.82718,121700.378576
RC1_10_3,RC1,BIH-ACO,2026,1,91,79750.82718,121700.378576
RC1_10_4,RC1,BIH-ACO,2026,0,90,87935.090113,118086.39501
RC1_10_4,RC1,BIH-ACO,2026,1,90,87935.090113,118086.39501
RC1_10_5,RC1,BIH-ACO,2026,0,94,66828.56309,124990.300313
RC1_10_5,RC1,BIH-ACO,2026,1,94,66828.56309,124990.300313
RC1_10_6,RC1,BIH-ACO,2026,0,96,65668.869913,126303.224796
RC1_10_6,RC1,BIH-ACO,2026,1,96,65668.869913,126303.224796
RC1_10_7,RC1,BIH-ACO,2026,0,94,67519.276399,123132.725947
RC1_10_7,RC1,BIH-ACO,2026,1,94,67519.276399,123132.725947
RC1_10_8,RC1,BIH-ACO,2026,0,96,61733.307498,130151.71107
RC1_10_8,RC1,BIH-ACO,2026,1,96,61733.307498,130151.71107
RC1_10_9,RC1,BIH-ACO,2026,0,95,63187.296271,131615.74716
RC1_10_9,RC1,BIH-ACO,2026,1,95,63187.296271,131615.74716
RC1_10_9,RC1,BIH-ACO,2026,2,95,63187.296271,131615.74716
RC2_10_1,RC2,BIH-ACO,2026,0,28,49611.830664,155591.72992
RC2_10_1,RC2,BIH-ACO,2026,1,28,49611.830664,155591.72992
RC2_10_1,RC2,BIH-ACO,2026,2,28,49611.830664,155591.72992
RC2_10_10,RC2,BIH-ACO,2026,0,19,40974.60632,114862.266882
RC2_10_10,RC2,BIH-ACO,2026,1,19,40974.60632,114862.266882
RC2_10_2,RC2,BIH-ACO,2026,0,24,42116.609663,135235.459022
RC2_10_2,RC2,BIH-ACO,2026,1,24,42116.609663,135235.459022
RC2_10_3,RC2,BIH-ACO,2026,0,21,31942.650335,108315.824876
RC2_10_3,RC2,BIH-ACO,2026,1,21,31942.650335,108315.824876
RC2_10_4,RC2,BIH-ACO,2026,0,18,26843.930997,83946.889153
RC2_10_4,RC2,BIH-ACO,2026,1,18,26843.930997,83946.889153
RC2_10_5,RC2,BIH-ACO,2026,0,23,47878.216335,134197.737185
RC2_10_5,RC2,BIH-ACO,2026,1,23,47878.216335,134197.737185
RC2_10_6,RC2,BIH-ACO,2026,0,23,38572.878052,143533.992719
RC2_10_6,RC2,BIH-ACO,2026,1,23,38572.878052,143533.992719
RC2_10_7,RC2,BIH-ACO,2026,0,21,36274.129931,129840.13951
RC2_10_7,RC2,BIH-ACO,2026,1,21,36274.129931,129840.13951
RC2_10_8,RC2,BIH-ACO,2026,0,19,38866.931375,118861.302471
RC2_10_8,RC2,BIH-ACO,2026,1,19,38866.931375,118861.302471
RC2_10_9,RC2,BIH-ACO,2026,0,20,41129.212094,122894.83639
RC2_10_9,RC2,BIH-ACO,2026,1,20,41129.212094,122894.83639
