instance,group,algorithm,seed,iteration,best_vehicles,best_distance,best_travel_time
C1_10_10,C1,GWO,2026,10,467,318257.827016,493940.104693
C1_10_10,C1,GWO,2026,11,464,313769.634441,490909.061032
C1_10_10,C1,GWO,2026,12,461,316017.288493,488233.620587
C1_10_10,C1,GWO,2026,13,461,316017.288493,488233.620587
C1_10_10,C1,GWO,2026,14,461,316017.288493,488233.620587
C1_10_10,C1,GWO,2026,15,461,316017.288493,488233.620587
C1_10_10,C1,GWO,2026,16,461,316017.288493,488233.620587
C1_10_10,C1,GWO,2026,17,461,316017.288493,488233.620587
C1_10_10,C1,GWO,2026,18,461,316017.288493,488233.620587
C1_10_10,C1,GWO,2026,19,461,316017.288493,488233.620587
C1_10_10,C1,GWO,2026,20,461,316017.288493,488233.620587
C1_10_2,C1,GWO,2026,1,592,339339.685431,642815.8582
C1_10_2,C1,GWO,2026,2,592,339339.685431,642815.8582
C1_10_2,C1,GWO,2026,3,590,339004.498644,645985.77345
C1_10_2,C1,GWO,2026,4,590,339004.498644,645985.77345
C1_10_2,C1,GWO,2026,5,590,339004.498644,645985.77345
C1_10_2,C1,GWO,2026,6,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,7,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,8,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,9,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,10,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,11,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,12,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,13,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,14,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,15,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,16,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,17,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,18,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,19,581,339842.379244,639469.033498
C1_10_2,C1,GWO,2026,20,581,339842.379244,639469.033498
C1_10_3,C1,GWO,2026,1,464,324040.584686,558158.499637
C1_10_3,C1,GWO,2026,2,464,324040.584686,558158.499637
C1_10_3,C1,GWO,2026,3,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,4,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,5,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,6,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,7,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,8,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,9,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,10,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,11,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,12,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,13,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,14,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,15,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,16,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,17,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,18,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,19,457,316260.063597,547557.245951
C1_10_3,C1,GWO,2026,20,457,316260.063597,547557.245951
C1_10_4,C1,GWO,2026,1,345,309474.963412,471545.084643
C1_10_4,C1,GWO,2026,2,345,309474.963412,471545.084643
C1_10_4,C1,GWO,2026,3,345,309474.963412,471545.084643
C1_10_4,C1,GWO,2026,4,343,304501.375069,466194.367512
C1_10_4,C1,GWO,2026,5,343,304501.375069,466194.367512
C1_10_4,C1,GWO,2026,6,343,304501.375069,466194.367512
C1_10_4,C1,GWO,2026,7,343,304501.375069,466194.367512
C1_10_4,C1,GWO,2026,8,339,300842.235812,458386.515491
C1_10_4,C1,GWO,2026,9,339,300842.235812,458386.515491
C1_10_4,C1,GWO,2026,10,339,300842.235812,458386.515491
C1_10_4,C1,GWO,2026,11,339,300842.235812,458386.515491
C1_10_4,C1,GWO,2026,12,339,300842.235812,458386.515491
C1_10_4,C1,GWO,2026,13,339,300842.235812,458386.515491
C1_10_4,C1,GWO,2026,14,339,300842.235812,458386.515491
C1_10_4,C1,GWO,2026,15,339,300842.235812,458386.515491
